"","name","date","hits","geo"
"488","julian castro",2019-03-24,4,"US-PA"
"489","julian castro",2019-03-31,15,"US-PA"
"490","julian castro",2019-04-07,7,"US-PA"
"491","julian castro",2019-04-14,6,"US-PA"
"492","julian castro",2019-04-21,4,"US-PA"
"493","julian castro",2019-04-28,6,"US-PA"
"494","julian castro",2019-05-05,2,"US-PA"
"495","julian castro",2019-05-12,0,"US-PA"
"496","julian castro",2019-05-19,3,"US-PA"
"497","julian castro",2019-05-26,0,"US-PA"
"498","julian castro",2019-06-02,4,"US-PA"
"499","julian castro",2019-06-09,5,"US-PA"
"500","julian castro",2019-06-16,3,"US-PA"
"501","julian castro",2019-06-23,100,"US-PA"
"502","julian castro",2019-06-30,28,"US-PA"
"503","julian castro",2019-07-07,7,"US-PA"
"504","julian castro",2019-07-14,7,"US-PA"
"505","julian castro",2019-07-21,7,"US-PA"
"506","julian castro",2019-07-28,37,"US-PA"
"507","julian castro",2019-08-04,26,"US-PA"
"508","julian castro",2019-08-11,10,"US-PA"
"509","julian castro",2019-08-18,5,"US-PA"
"510","julian castro",2019-08-25,3,"US-PA"
"511","julian castro",2019-09-01,5,"US-PA"
"512","julian castro",2019-09-08,37,"US-PA"
"513","julian castro",2019-09-15,10,"US-PA"
"514","julian castro",2019-09-22,7,"US-PA"
"515","julian castro",2019-09-29,4,"US-PA"
"516","julian castro",2019-10-06,2,"US-PA"
"517","julian castro",2019-10-13,18,"US-PA"
"518","julian castro",2019-10-20,8,"US-PA"
"519","julian castro",2019-10-27,5,"US-PA"
"520","julian castro",2019-11-03,6,"US-PA"
"521","julian castro",2019-02-03,15,"US-IA"
"522","julian castro",2019-02-10,17,"US-IA"
"523","julian castro",2019-02-17,10,"US-IA"
"524","julian castro",2019-02-24,10,"US-IA"
"525","julian castro",2019-03-03,10,"US-IA"
"526","julian castro",2019-03-10,10,"US-IA"
"527","julian castro",2019-03-17,0,"US-IA"
"528","julian castro",2019-03-24,21,"US-IA"
"529","julian castro",2019-03-31,31,"US-IA"
"530","julian castro",2019-04-07,17,"US-IA"
"531","julian castro",2019-04-14,14,"US-IA"
"532","julian castro",2019-04-21,11,"US-IA"
"533","julian castro",2019-04-28,10,"US-IA"
"534","julian castro",2019-05-05,0,"US-IA"
"535","julian castro",2019-05-12,11,"US-IA"
"536","julian castro",2019-05-19,11,"US-IA"
"537","julian castro",2019-05-26,0,"US-IA"
"538","julian castro",2019-06-02,12,"US-IA"
"539","julian castro",2019-06-09,23,"US-IA"
"540","julian castro",2019-06-16,0,"US-IA"
"541","julian castro",2019-06-23,100,"US-IA"
"542","julian castro",2019-06-30,18,"US-IA"
"543","julian castro",2019-07-07,29,"US-IA"
"544","julian castro",2019-07-14,11,"US-IA"
"545","julian castro",2019-07-21,12,"US-IA"
"546","julian castro",2019-07-28,35,"US-IA"
"547","julian castro",2019-08-04,35,"US-IA"
"548","julian castro",2019-08-11,42,"US-IA"
"549","julian castro",2019-08-18,44,"US-IA"
"550","julian castro",2019-08-25,15,"US-IA"
